genero_musical;comida_favorita;filme_favorito;esporte_favorito;time;religiao;tem_filhos;idade;destino
1;1;1;2;4;5;0;24;Cinema
1;1;1;2;4;5;0;24;Parque
1;1;1;2;4;5;0;24;Shopping
1;1;1;2;4;5;0;24;Jogos
1;1;1;2;4;5;0;24;Bar
7;5;8;1;4;5;0;21;Restaurante
7;5;8;1;4;5;0;21;Parque
7;5;8;1;4;5;0;21;Museu
7;5;8;1;4;5;0;21;Jogos
7;5;8;1;4;5;0;21;Teatro
0;1;0;0;4;5;0;21;Cinema
0;3;6;4;4;5;0;21;Cinema
0;3;6;4;4;5;0;21;Shopping
0;3;6;4;4;5;0;21;Bar
0;0;6;4;4;5;0;19;OUTROS
7;1;2;7;4;5;0;29;Jogos
7;2;1;7;4;5;0;22;Cinema
7;2;1;7;4;5;0;22;Parque
7;2;1;7;4;5;0;22;Museu
7;2;1;7;4;5;0;22;Biblioteca
7;2;1;7;4;5;0;22;Jogos
4;1;8;2;4;5;0;25;Parque
4;1;2;2;4;5;0;28;Cinema
4;1;2;2;4;5;0;28;Restaurante
4;1;2;2;4;5;0;28;Parque
4;1;2;2;4;5;0;28;Shopping
6;4;6;2;4;5;0;23;Restaurante
6;4;6;2;4;5;0;23;Parque
6;4;6;2;4;5;0;23;Shopping
6;4;6;2;4;5;0;23;Jogos
6;4;6;2;4;5;0;23;Bar
4;3;7;7;4;5;0;24;Cinema
4;3;7;7;4;5;0;24;Restaurante
4;3;7;7;4;5;0;24;Parque
4;3;7;7;4;5;0;24;Shopping
4;3;7;7;4;5;0;24;Show
4;3;7;7;4;5;0;24;Teatro
4;3;7;7;4;5;0;24;Cinema
4;3;7;7;4;5;0;24;Restaurante
4;3;7;7;4;5;0;24;Parque
4;3;7;7;4;5;0;24;Shopping
4;3;7;7;4;5;0;24;Show
4;3;7;7;4;5;0;24;Teatro
0;0;4;4;4;5;0;23;Cinema
0;0;4;4;4;5;0;23;Museu
0;0;4;4;4;5;0;23;Teatro
0;0;4;4;4;5;0;23;Bar
5;0;1;0;1;5;0;21;Jogos
5;0;1;0;1;5;0;21;Jogos
5;0;1;0;1;5;0;21;Jogos
5;0;1;0;1;5;0;21;Jogos
